decalage	unique	phase	marge	rx_avant	daram_len	vraies	crc_ok	sb_tentees	fb_acceptees
-2	0	0.5	21	1	380	0	1	57	61
-2	0	0.5	30	0	296	0	0	60	65
-2	0	0.5	30	0	380	0	0	60	65
-2	0	0.5	30	1	296	0	1	58	61
-2	0	0.5	30	1	380	0	1	58	61
-2	0	0.5	41	0	296	0	1	57	61
-2	0	0.5	41	0	380	0	1	57	61
-2	0	0.5	41	1	296	0	1	58	59
-2	0	0.5	41	1	380	0	1	58	59
-2	0	0.6	0	0	296	0	1	60	63
-2	0	0.6	0	0	380	0	1	60	63
-2	0	0.6	0	1	296	0	5	56	58
-2	0	0.6	0	1	380	0	5	56	58
-2	0	0.6	10	0	296	0	2	57	60
-2	0	0.6	10	0	380	0	2	57	60
-2	0	0.6	10	1	296	0	1	57	60
-2	0	0.6	10	1	380	0	1	57	60
-2	0	0.6	21	0	296	0	4	59	62
-2	0	0.6	21	0	380	0	4	59	62
-2	0	0.6	21	1	296	0	2	57	61
-2	0	0.6	21	1	380	0	2	57	61
-2	0	0.6	30	0	296	0	2	58	65
-2	0	0.6	30	0	380	0	2	58	65
-2	0	0.6	30	1	296	0	2	57	60
-2	0	0.6	30	1	380	0	2	57	60
-2	0	0.6	41	0	296	0	0	60	62
-2	0	0.6	41	0	380	0	0	60	62
-2	0	0.6	41	1	296	0	3	56	59
-2	0	0.6	41	1	380	0	3	56	59
-2	0	0.7	0	0	296	0	0	58	61
-2	0	0.7	0	0	380	0	0	58	61
-2	0	0.7	0	1	296	0	7	52	60
-2	0	0.7	0	1	380	0	7	52	60
-2	0	0.7	10	0	296	0	2	58	60
-2	0	0.7	10	0	380	0	2	58	60
-2	0	0.7	10	1	296	0	7	52	60
-2	0	0.7	10	1	380	0	7	52	60
-2	0	0.7	21	0	296	0	0	58	60
-2	0	0.7	21	0	380	0	0	58	60
-2	0	0.7	21	1	296	0	10	52	61
-2	0	0.7	21	1	380	0	10	52	61
-2	0	0.7	30	0	296	0	0	58	60
-2	0	0.7	30	0	380	0	0	58	60
-2	0	0.7	30	1	296	0	3	56	60
-2	0	0.7	30	1	380	0	3	56	60
-2	0	0.7	41	0	296	0	0	58	60
-2	0	0.7	41	0	380	0	0	58	60
-2	0	0.7	41	1	296	0	8	52	61
-2	0	0.7	41	1	380	0	8	52	61
-2	0	0.8	0	0	296	0	2	56	60
-2	0	0.8	0	0	380	0	2	56	60
-2	0	0.8	0	1	296	0	0	58	59
-2	0	0.8	0	1	380	0	0	58	59
-2	0	0.8	10	0	296	0	1	57	61
-2	0	0.8	10	0	380	0	1	57	61
-2	0	0.8	10	1	296	0	5	56	59
-2	0	0.8	10	1	380	0	5	56	59
-2	0	0.8	21	0	296	0	4	59	61
-2	0	0.8	21	0	380	0	4	59	61
-2	0	0.8	21	1	296	0	7	54	59
-2	0	0.8	21	1	380	0	7	54	59
-2	0	0.8	30	0	296	0	1	60	61
-2	0	0.8	30	0	380	0	1	60	61
-2	0	0.8	30	1	296	0	6	55	59
-2	0	0.8	30	1	380	0	6	55	59
-2	0	0.8	41	0	296	0	1	59	62
-2	0	0.8	41	0	380	0	1	59	62
-2	0	0.8	41	1	296	0	4	54	59
-2	0	0.8	41	1	380	0	4	54	59
-2	0	0.9	0	0	296	0	5	57	63
-2	0	0.9	0	0	380	0	5	57	63
-2	0	0.9	0	1	296	0	6	54	60
-2	0	0.9	0	1	380	0	6	54	60
-2	0	0.9	10	0	296	0	2	56	60
-2	0	0.9	10	0	380	0	2	56	60
-2	0	0.9	10	1	296	0	8	54	61
-2	0	0.9	10	1	380	0	8	54	61
-2	0	0.9	21	0	296	0	1	60	63
-2	0	0.9	21	0	380	0	1	60	63
-2	0	0.9	21	1	296	0	4	56	60
-2	0	0.9	21	1	380	0	4	56	60
-2	0	0.9	30	0	296	0	3	57	62
-2	0	0.9	30	0	380	0	3	57	62
-2	0	0.9	30	1	296	0	3	57	59
